name,description,brand,category,price,quantity
iPhone 15,Latest smartphone,Apple,Electronics,999.99,10
Samsung Galaxy S24,Android flagship phone,Samsung,Electronics,899.99,15
Sony WH-1000XM5,Noise cancelling wireless headphones,Sony,Electronics,348.00,25
The Great Gatsby,Classic American novel,Scribner,Books,10.99,50
1984,Dystopian science fiction,Penguin,Books,9.99,100
Dyson V11 Vacuum,Cordless stick vacuum cleaner,Dyson,Home,599.99,8
Instant Pot Duo,7-in-1 electric pressure cooker,Instant Pot,Home,89.95,30
Yoga Mat,Premium non-slip exercise mat,Lululemon,Sports,68.00,45
Adjustable Dumbbell Set,Weights for home gym,Bowflex,Sports,399.00,12
Levi's 501 Jeans,Original fit denim jeans,Levi's,Clothing,59.50,60
Nike Air Force 1,Classic white sneakers,Nike,Clothing,110.00,35
MacBook Air M3,Lightweight laptop with M3 chip,Apple,Electronics,1099.00,20
Kindle Paperwhite,Waterproof e-reader with 16GB,Amazon,Electronics,139.99,40
Coffee Maker,Programmable drip coffee machine,Keurig,Home,79.99,22
Wilson Tennis Racket,Pro staff precision racket,Wilson,Sports,150.00,18
Bluetooth Speaker,Waterproof portable speaker,JBL,Electronics,49.95,50
Standing Desk,Adjustable height home office desk,FlexiSpot,Home,299.99,5
Running Shoes,Cushioned daily trainer,HOKA,Clothing,145.00,24
Blender,High-speed professional blender,Vitamix,Home,349.00,10
Gaming Monitor,27-inch 144Hz IPS display,LG,Electronics,249.99,14
