name,description,brand,category,price,quantity
iPhone 16 Pro,Latest Apple flagship with A18 chip and 48MP camera system,Apple,Electronics,1199.99,15
Samsung Galaxy S25,Premium Android phone with Snapdragon 8 Elite and 200MP camera,Samsung,Electronics,999.99,20
Sony WH-1000XM6,Industry-leading noise cancelling wireless headphones with 40h battery,Sony,Electronics,379.99,30
MacBook Pro 14,M4 Pro chip laptop with Liquid Retina XDR display and 18h battery life,Apple,Electronics,1999.99,10
Dell XPS 15,High-performance laptop with OLED display and Intel Core Ultra 9,Dell,Electronics,1749.99,8
iPad Air M3,Thin and powerful tablet with M3 chip and Apple Pencil Pro support,Apple,Electronics,749.99,25
Kindle Paperwhite 2025,Waterproof e-reader with 7-inch glare-free display and adjustable warm light,Amazon,Books,159.99,40
Atomic Habits,Bestselling guide on building good habits and breaking bad ones,James Clear,Books,15.99,100
Nike Air Max 270,Lightweight running shoes with Max Air heel unit for all-day comfort,Nike,Footwear,130.00,35
Adidas Ultraboost 24,Responsive running shoes with BOOST midsole and Primeknit upper,Adidas,Footwear,180.00,28
Levi's 514 Straight Jeans,Classic straight fit jeans in premium stretch denim,Levis,Clothing,59.99,50
The North Face Fleece Jacket,Warm and lightweight fleece jacket for outdoor adventures,The North Face,Clothing,99.99,22
Dyson V15 Detect,Cordless vacuum with laser dust detection and up to 60 min runtime,Dyson,Home Appliances,749.99,12
Instant Pot Pro,10-in-1 multi-use pressure cooker with customizable programs,Instant Pot,Home Appliances,99.99,45
Nespresso Vertuo Pop,Compact coffee machine with centrifusion technology for barista quality,Nespresso,Home Appliances,89.99,30
Wilson Pro Staff Tennis Racket,Professional racket used by top ATP players worldwide,Wilson,Sports,229.99,15
Bowflex SelectTech Dumbbells,Adjustable dumbbells replacing 15 sets of weights in one,Bowflex,Sports,299.99,18
Yoga Mat Pro,Non-slip 6mm thick eco-friendly yoga mat with alignment lines,Manduka,Sports,85.00,60
LEGO Technic Ferrari,Detailed 1677-piece LEGO set of a Ferrari Daytona SP3,LEGO,Toys,399.99,10
JBL Charge 6,Portable waterproof Bluetooth speaker with 24h playtime and power bank,JBL,Electronics,179.99,35
